Se��o;Localiza��o ou subse��o;N� arq.;N�mero de Ordem;N�mero da photo;N�mero de pe�as;Descrip��o;Altura (m);Largura (m);Profundidade (m);Proveniencia;Valor individual, como consta grafado (de cada pe�a);Valor global, como consta grafado;Estado de Conserva��o;Observa��es;Data da informa��o
 Caixa Forte ;Caixa Forte (inventario de moedas) 3;7931;1131 - 1135;em branco ;5;99a. De 80 r�is 1823, 100a, de 80 r�is de 1828, 101a, de 80 r�is de 1829, 102a, de 80 r�is de 1830, 103a, de 80 r�is de 1831 - D. Pedro I.;em branco;em branco;em branco;Rio de Janeiro;em branco;;em branco;est�o no enveloppe 20 ;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 3;7931;1136 - 1144;em branco ;9;"104a de 20 r�is 1823; 105a de 20 r�is 1824; 106a de 20 r�is 1825; 107a de 20 r�is 1828; 108a de 20 r�is 1831; 109a de 40 r�is 1824; 110a de 40 r�is 1825; 111a de 40 r�is 1826; 112a de 40 r�is 1827 - D. Pedro I";em branco;em branco;em branco;Rio de Janeiro;em branco;;em branco;est�o no enveloppe 31;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 3;7931;1145 - 1152;em branco ;8;"113a de 10 r�is 1825; 114a de 10 r�is 1826; 115a de 10 r�is 1829; 116a de 20 r�is 1823; 117a de 20 r�is 1824; 118a de 20 r�is 1825; 119a de 20 r�is 1829; 120a de r�is 1830 e D. Pedro I";em branco;em branco;em branco;Rio de Janeiro;em branco;;em branco;est�o no enveloppe 22;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 3;7931;1153 - 1157;em branco ;5;"121a de 20 r�is 1827; 122a de 20 r�is 1828; 123a de 20 r�is 1829; 124a de 20 r�is de 1830; 125a de 40 r�is 1829 - D. Pedro I";em branco;em branco;em branco;Bahia;em branco;;em branco;est�o no enveloppe 23;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 3;7931;1158 - 1165;em branco ;8;"126a de 10 r�is 1715; 127a de 10 r�is 1719; 128a de 10 r�is 1719; 129a de 20 r�is 1715; 130a de 20 r�is 1718; 131a de 20 r�is 1719 (com carimbo); 132a de 20 r�is 1719; 153a de 20 r�is 1719 (differente) - 1� typo D. Jo�o V.";em branco;em branco;em branco;Lisb�a;em branco;;em branco;est�o no enveloppe 2;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 3;7931;1166 - 1169;em branco ;4;"134a de 10 r�is 1731; 135a de 20 r�is 1730; 136a de 20 r�is 1730 (com carimbo); 137a de 20 r�is 1731 - 1 typo D. Jo�o V (1706 - 1750)";em branco;em branco;em branco;Bahia;em branco;;em branco;est�o no enveloppe 3;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 4;7932;1170 - 1172;em branco ;3;"138a de 20 r�is 1761; 139a de 20 r�is 161 (com carimbo); 140a de 40 r�is 1762 - D. Jo�o I (1750 - 1777)";em branco;em branco;em branco;Bahia;em branco;;em branco;est�o no enveloppe 7;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 4;7932;1173 - 1176;em branco ;4;"141a de 10 r�is 1805; 142a de 20 r�is 1805; 143a de 40 r�is 102; 144a de 40 r�is 1802 - sem letra monetaria - D. Jo�o Regente";em branco;em branco;em branco;Lisboa;em branco;;em branco;est�o no enveloppe 14;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 4;7932;1177 - 1179;em branco ;3;"145a de 20 r�is 1832; 146a de 40 r�is 1832; 147a de 80 r�is 1832 - D. Jo�o Regente";em branco;em branco;em branco;Rio de Janeiro;em branco;;em branco;est�o no enveloppe 22;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 4;7932;1180 - 1185;em branco ;6;"148a de 30 r�is (data illegivel); 149a de 30 r�is (data illegivel); 150a de 75 r�is 1818; 151a de 75 r�is 1819; 152a de 75 r�is 1821; 153a de 75 r�is 1821 (differente) - D. Jo�o VI (1818 a 1822)";em branco;em branco;em branco;Minas Geraes;em branco;;em branco;est�o no enveloppe 17;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 4;7932;1186 - 1188;em branco ;3;"154a de 10 r�is 1832; 155a de 20 r�is (data illegivel); 156a de 20 r�is 1833 - D. Pedro II";em branco;em branco;em branco;Goyaz;em branco;;em branco;est�o no enveloppe 33;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 4;7932;1189 - 1191;em branco ;3;"157a de 10 r�is 1827; 158a de 10 r�is 1829; 159a de 10 r�is 1830 - D. Pedro I (1822 a 1831)";em branco;em branco;em branco;Goyaz;em branco;;em branco;est�o no enveloppe 25;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 4;7932;1192;em branco ;1;160a de 20 r�is 1828 - Escudo com estrella - D.Pedro I (1822 - 1831);em branco;em branco;em branco;Goyaz;em branco;;em branco;est�o no enveloppe 26;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 4;7932;1193 - 1196;em branco ;4;"161a de 20 r�is 1823; 162a de 20 r�is 1828; 163a de 20 r�is 1829; 164a de 80 r�is (data illegivel) - D. Pedro I (1822 a 1831)";em branco;em branco;em branco;Goyaz;em branco;;em branco;est�o no enveloppe 27;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 4;7932;1197;em branco ;1;165a de 20 r�is 1828 - D. Pedro I (1822 - 1831);em branco;em branco;em branco;Cuyab�;em branco;;em branco;est� no enveloppe 22;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 4;7932;1198 - 1201;em branco ;4;"166a de 10 r�is 1828; 167a de 10 r�is 1829; 168a 10 de 1830; 169a de 40 (data illegivel) - D. Pedro I (1822 - 1831)";em branco;em branco;em branco;Cuyab�;em branco;;em branco;est�o no enveloppe 29;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 4;7932;1202 - 1208;em branco ;7;"170a de 40 r�is 1827; 171a de 40 r�is 1829; 172a de 40 r�is 1829; 173a de 80 r�is (data illegivel); 174a de 80 r�is 1824; 175a de 80 r�is 1825; 176a de 80 r�is 1829 - D. PedroI (1822 a 1831)";em branco;em branco;em branco;Bahia;em branco;;em branco;est�o no enveloppe 50;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 5;7933;1209 - 1221;em branco ;13;"177a de 1000 r�is 1850; 178 de 1000 r�is 1853; 179a de 1000 r�is; 180a de 1000 r�is 1855; 181a de 1000 r�is 1856; 182a de 1000 r�is 1857; 183a de 1000 r�is 1858; 184a de 1000 r�is 1859; 185a de 1000 r�is 1860; 186a de 1000 r�is 1862; 187a de 1000 r�is 1863; 188a de 1000 r�is 1865; 189a de 1000 r�is 1866 - De prata - sem effigie - D. Pedro II";em branco;em branco;em branco;Rio de Janeiro;em branco;;em branco;est�o no enveloppe 54;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 5;7933;1222 - 1228;em branco ;7;"190a de 1000 r�is 1869; 191a de 1000 r�is 1876; 192a de 1000 r�is 1878; 193a de 1000 r�is 1679; 194a de 1000 r�is 1880; 195a de 1000 r�is 1881; 196a de 1000 r�is 1888 - De prata - com effigie - D. Pedro II";em branco;em branco;em branco;Rio de Janeiro;em branco;;em branco;est�o no enveloppe 55;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 5;7933;1229 - 1231;em branco ;5;"197a de 500 r�is 1867; 198a de 500 r�is 1868; 199a de 500 r�is 1888 - de prata - com effigie - D. Pedro II";em branco;em branco;em branco;Rio de Janeiro;em branco;;em branco;est�o no enveloppe 34;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 5;7933;1232 - 1244;em branco ;13;"200a de 500 r�is 1850; 201a de 500 r�is 1852; 202a de 500 r�is 1855; 203a de 500 r�is 1855; 204a de 500 r�is 1857; 205a de 500 r�is 1858; 206a de 500 r�is 1859; 207a de 500 r�is 1860; 208a de 500 r�is 1861; 209a de 500 r�is 1862; 210a de 500 r�is 1863; 211a de 500 r�is 1864; 212a de 500 r�is 1865 - De prata - se, effigie - D. Pedro II";em branco;em branco;em branco;Rio de Janeiro;em branco;;em branco;est�o no enveloppe 37;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 5;7933;1245 - 1246;em branco ;2;"213a de 500 r�is 1905; 214a de 500 r�is 1907 - De prata - Republica";em branco;em branco;em branco;Rio de Janeiro;em branco;;em branco;est�o no enveloppe 38;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 5;7933;1247;em branco ;1;215a de 500 r�is 1888 - De prata - Republica;em branco;em branco;em branco;Rio de Janeiro;em branco;;em branco;est� no enveloppe 39;19/12/1932
 Caixa Forte ;Caixa Forte (inventario de moedas) 5;7933;1248;em branco ;1;216a de 1000 r�is 1912 - De prata - Republica;em branco;em branco;em branco;Rio de Janeiro;em branco;;em branco;est� no enveloppe 40;19/12/1932
;;;;;;A PRESENTE COLLEC��O DE MOEDAS SE ACHA NA GAVETA INFERIOR DO COFRE SITUADO AO LADO ESQUERDO DA CAIXA FORTE. � PROVENIENCIA, NO QUE SE REFERE �S MOEDAS � DESIGNADA PELO LUGAR DE CUNHAGEM - TODAS AS MOEDAS S�O DE COBRE. COM EXCE��O DAQUELLAS COM O METAL MENCIONADO;;;;;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2321 - 2440;em branco ;120;Pratis fundos, estylo George I, marcados de numeros de 1 a 180. Marcados: Minist�rio das Rela��es Exteriores. Em estojo. ;em branco;em branco;em branco;comyns - Londres;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2441 - 2680;em branco ;240;Pratos rasos, idem, marcados de numeros de 1 a 180. Em 2 estojos.;em branco;em branco;em branco;em branco;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2681 - 2800;em branco ;120;Pratos de sobremesas, idem, marcados de numeros de 1 a 180. Em estojo;em branco;em branco;em branco;em branco;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2801 - 2812;em branco ;12;Pratos de prata, Luiz XVI. Friedlander.;em branco;em branco;em branco;Berlim;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2813 - 2818;em branco ;6;Pratos de prata, Luiz XVI. Friedlander.;em branco;em branco;em branco;Berlim;;;em branco;em branco;19/12/1932
;;;;;;"Servi�o de ch�, de prata portugueza, marcado; Ministerio das Rela��es Exteriores; adquirido em 1927; composto de";;;;Rio de Janeiro;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2819;em branco ;1;cafeteira;em branco;em branco;em branco;;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2820;em branco ;1;Bule;em branco;em branco;em branco;;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2821;em branco ;1;Leiteira;em branco;em branco;em branco;;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2822;em branco ;1;Assucareiro;em branco;em branco;em branco;;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2823;em branco ;1;Lavanda;em branco;em branco;em branco;;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2824;em branco ;1;Manteigueira;em branco;em branco;em branco;;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2825;em branco ;1;Bandeja;em branco;em branco;em branco;;;;em branco;em branco;19/12/1932
;;;;;;"Servi�o de ch�, de prata portugueza, marcado; Ministerio das Rela��es Exteriores; adquirido em 1927; composto de";;;;Rio de Janeiro;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2826;em branco ;1;Cafeteira, com aza de ebano;em branco;em branco;em branco;;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2827;em branco ;1;Bule;em branco;em branco;em branco;;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2828;em branco ;1;Leiteira;em branco;em branco;em branco;;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2829;em branco ;1;Assucareiro;em branco;em branco;em branco;;;;em branco;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7934;2830;em branco ;1;Lavanda;em branco;em branco;em branco;;;;em branco;em branco;19/12/1932
;;;;;;"Servi�o de ch�, de prata franceza, estylo Luiz XV; do Bar�o do Rio Branco; marcado com as armas. Composto de:";;;;Paris;;;Bom.;em branco;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7935;2831;em branco ;1;Cafeteira;em branco;em branco;em branco;;1:200$000;;em branco;1.200 grs;19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7935;2832;em branco ;1;Bule;em branco;em branco;em branco;;790$000;;em branco;790 '';19/12/1932
 Caixa Forte ; Caixa Forte (prataria) ;7935;2833;em branco ;1;Leiteira;em branco;em branco;em branco;;985$000;;em branco;"985""";19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2834;em branco ;1;Assucareiro;em branco;em branco;em branco;;288$000;;em branco;"288""";19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2835;em branco ;1;Chaleira;em branco;em branco;em branco;;2:985$000;;em branco;"2,985""";19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2836;em branco ;1;Lampada, com cabo de ebano;em branco;em branco;em branco;;183$000;;em branco;"183""";19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2837;em branco ;1;Bandeja;em branco;em branco;em branco;;7:100$000;;em branco;"7.100""";19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2838 - 2841;em branco ;4;"Candelabros de prata portugueza, 7 velas, estylo D. Jo�o V; marcados: Ministerio das Rela��es Exteriores.";em branco;em branco;em branco;Rio de Janeiro;9:500$000;;em branco;Est�o na sala dos ficheiros.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2842-2843;em branco ;2;"Candelabros de prata, estylo Luiz XIV; 7 velas; marcados: Ministerio das Rela��es Exteriores.";em branco;em branco;em branco;comyns - Londres;12:500$000;;em branco;Est�o na sala de jantar.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2844 - 2847;em branco ;4;"Candelabros, prata, estylo Luiz XIV; 7 velas; marcados: Ministerio das Rela��es Exteriores.";em branco;em branco;em branco;comyns - Londres;7:200$000;;em branco;Est�o na sala de jantar.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2848 - 2849;em branco ;2;"Candelabros de metal, estylo Luiz XV, 5 velas; do Bar�o do Rio Branco; pesa 5.500 grs. Cada um.";em branco;em branco;em branco;Fran�a;750$000;;em branco;Est�o na entrada do Gabinete do Ministro.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2850 - 2851;em branco ;2;"Candelabros de metal, 4 velas; do Bar�o do Rio Branco; pesa 5.500 grs. Cada um.";em branco;em branco;em branco;Fran�a;750$000;;em branco;Est�o na entrada do Gabinete do Ministro.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2852;em branco ;1;"Salva oval, com duas al�as e grade, de prata portugueza; pesa 2.510 grammas.";em branco;em branco;em branco;Rio de Janeiro;2:500$000;;em branco;Adquirida no Rio de Janeiro.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2853;em branco ;1;"Salva redonda, com 4 p�s de garras e grade, de prata portugueza; pesa 2.285 grammas";em branco;em branco;em branco;Rio de Janeiro;2:300$000;;em branco;Adquirida no Rio de Janeiro.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2854;em branco ;1;"Salva redonda, com cercadura trabalhada, braz�o e monogramma; de prata portugueza; pesa 1000 grs";em branco;em branco;em branco;Rio de Janeiro;1:000$000;;em branco;Adquirida em 1928.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2855;em branco ;1;"Salva redonda, com 3 p�s de garra; de prata portugueza; pesa 555 grammas.";em branco;em branco;em branco;Rio de Janeiro;550$000;;em branco;Adquirida em 1928.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2856;em branco ;1;Salva de prata, redonda, com 3 p�s, borda trabalhada 550 grammas.;em branco;em branco;em branco;Rio de Janeiro;550$000;;em branco;Adquirida em 1929.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7935;2857;em branco ;1;"Salva pequena, com 3 p�s e grade; prata portugueza; pesa 350 grammas.";em branco;em branco;em branco;em branco;350$000;;em branco;Adquirida em 1929.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2858;em branco ;1;Salva rectangular, de metal, com uvas. Pesa 5.400 grammas.;em branco;em branco;em branco;Rio de Janeiro;250$000;;em branco;Est� com o porteiro.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2859;em branco ;1;Salva de prata portugueza com 3 p�s.;em branco;em branco;em branco;Rio de Janeiro;em branco;;em branco;Est� na sala Cabo Frio.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2860;em branco ;1;Salva de prata;em branco;em branco;em branco;Rio de Janeiro;em branco;;em branco;Est� na sala Rio Branco.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2861;em branco ;1;Centro de mesa prata dourada;em branco;em branco;em branco;Londres;12:000$000;;Bom.;Est� na ante-sala Cabo Frio.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2862 - 2863;em branco ;2;Candelabros de prata dourada, pertencentes ao centro supra. O centro e os candelabros s�o de prata ingleza. Foram offerecidos por subscrip��o publica ao Bar�o do Rio Branco, como lembren�a da quest�o de limites da Guyana, 1 de Dezembro de 1900. Pesam 5.200 gramas cada.;em branco;em branco;em branco;em branco;5:200$000;;Bom.;Est� no gabinete do ministro.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2864 - 2867;em branco ;4;Casti�ais antigos, de prata, do Bar�o do Rio Branco. Marcados com as armas;em branco;em branco;em branco;em branco;330$000;;em branco;330 grs. Cada. 2 est�o na sala amarela e 2 no cofre.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2868;em branco ;1;Espivitadeira de prata portugueza, do Visconde do Rio Branco.;em branco;em branco;em branco;Est� na entrada do Gabinete do Ministro;110$000;;Bom.;110 grs.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2869;em branco ;1;Bandeja de prata portugueza, pertencente � espivitadeira.;em branco;em branco;em branco;Est� na entrada do Gabinete do Ministro;300$000;;Bom.;300 grs.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2870;em branco ;1;"Caixa para charutos, de prata, com armas da republica; numerada.";em branco;em branco;em branco;Rio de Janeiro;880$000;;Bom.;Est� no gabinete do ministro.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2871 - 2873;em branco ;3;Caixas para cigarros, de prata, numeradas e marcadas Ministerio das Rela��es Exteriores.;em branco;em branco;em branco;Est�o no cofre.;490$000;;Bom.;490 grs.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2874;em branco ;1;"Copo de prata antiga, marcado; adquirido em 1928.";em branco;em branco;em branco;Est� na entrada do Gabinete do Ministro;300$000;;Bom.;300 grs.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2875;em branco ;1;Ascendedor para cigarros, p� de chifre.;em branco;em branco;em branco;em branco;300$000;;em branco;700 grs.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2876;em branco ;1;Licoreiro de prata, 4 garrafas de crystal.;em branco;em branco;em branco;em branco;400$000;;Bom.;;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2877;em branco ;1;"Lavap�s de prata portugueza, epoca D. Jo�o V; bases de madeira, pertenceu � Matris de Nictheroy; marcado: Ministerio das Rela��es Exteriores; adquirido em 1927.";em branco;em branco;em branco;em branco;5:750$000;;Bom.;5.750 grs.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2878;em branco ;1;Tinteiro de prata, do Visconde do Rio Branco.;em branco;em branco;em branco;em branco;550$000;;Bom.;550 grs.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2879;em branco ;1;"Caixa de rap�, de prata, marcada: Ministerio das Rela��es Exteriores; adquirida em 1927.";em branco;em branco;em branco;Est� no Gabinete do Ministro;100$000;;em branco;100 grs.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2880;em branco ;1;Caixa de rap�. Idem. ;em branco;em branco;em branco;Est� no Gabinete do Ministro;115$000;;em branco;115 grs.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7936;2881 - 3108;em branco ;228;Facas grandes, prata Mudra Stiller, modelo filete, marcadas R.E.;em branco;em branco;em branco;Berlim;em branco;;Bom.;90 grs, cada.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;3109 - 3309;em branco ;201;Facas para sobremesa, idem, prata.;em branco;em branco;em branco;Berlim;25$000;;Bom.;55 grs, cada.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;3310 - 3422;em branco ;113;Colheres de sopa, idem.;em branco;em branco;em branco;Berlim;35$000;;Bom.;70 grs, cada.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;3423 - 3535;em branco ;113;Colheres para sobremesa, idem.;em branco;em branco;em branco;Berlim;20$000;;Bom.;40 grs, cada.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;3536 - 3768;em branco ;233;Garfos grandes, idem.;em branco;em branco;em branco;Berlim;35$000;;Bom.;70 grs, cada.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;3769 - 3995;em branco ;227;Garfos para sobremesa, idem.;em branco;em branco;em branco;Berlim;20$000;;Bom.;40 grs, cada.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;3996 - 4115;em branco ;120;Facas para peixe, idem.;em branco;em branco;em branco;Berlim;20$000;;Bom.;45 grs, cada.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;4116 - 4232;em branco ;117;Garfos para peixe, idem.;em branco;em branco;em branco;Berlim;20$000;;Bom.;45 grs, cada.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;4233 - 4337;em branco ;105;Colheres para sorvete, idem.;em branco;em branco;em branco;Berlim;10$000;;Bom.;20 grs, cada.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;4338 - 4345;em branco ;8;Colheres para caf�, sem marca.;em branco;em branco;em branco;Berlim;5$000;;Bom.;10 grs, cada.;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;4346 - 4369;em branco ;;Faqueiro do Bar�o do Rio Branco, marcado com as armas: composto de:;em branco;em branco;em branco;Berlim;5:000$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;4370 - 4393;em branco ;24;Garfos para fruetas, cabo de madreperola.;em branco;em branco;em branco;Berlim;;;em branco;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;4394 - 4417;em branco ;24;Faca para fruetas, cabo de madreperola.;em branco;em branco;em branco;Berlim;;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;4418 - 4441;em branco ;24;Colheres para sorvetes, cabo de prata;em branco;em branco;em branco;Berlim;;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;4442 - 4465;em branco ;24;Garfos para peixe, cabo de prata;em branco;em branco;em branco;Berlim;;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;4466 - 4489;em branco ;24;Facas para peixe, cabo de prata;em branco;em branco;em branco;Berlim;;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;4490;em branco ;1;Garfo grande, para peixe, cabo de prata.;em branco;em branco;em branco;Berlim;;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;4491 - 4538;em branco ;48;Garfos para sobremesa, cabo de prata;em branco;em branco;em branco;Berlim;;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;4559 - 4562;em branco ;24;Facas para sobremesa, cabo de prata.;em branco;em branco;em branco;Berlim;;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7937;4563 - 4586;em branco ;24;Colheres para sobremesa, cabo de prata.;em branco;em branco;em branco;Berlim;;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7938;4587 - 4610;em branco ;24;Garfos grandes.;em branco;em branco;em branco;Berlim;;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7938;4611 - 4634;em branco ;24;Colheres para sopa.;em branco;em branco;em branco;Berlim;;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7938;4635 - 4682;em branco ;48;Facas grandes.;em branco;em branco;em branco;Berlim;;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4683;em branco ;1;Colher para arros;em branco;em branco;em branco;Comyns - Londres;120$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4684;em branco ;1;Colher para molho.;em branco;em branco;em branco;Comyns - Londres;100$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4685;em branco ;1;Colher para sopa.;em branco;em branco;em branco;Comyns - Londres;30$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4686;em branco ;1;Colher para sobremesa.;em branco;em branco;em branco;Comyns - Londres;20$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4687;em branco ;1;Colher para ch�.;em branco;em branco;em branco;Comyns - Londres;15$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4688;em branco ;1;Colher para caf�.;em branco;em branco;em branco;Comyns - Londres;10$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4689;em branco ;1;Colher para sal.;em branco;em branco;em branco;Comyns - Londres;10$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4690;em branco ;1;Colher para assucar.;em branco;em branco;em branco;Comyns - Londres;30$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4691;em branco ;1;Garfo grande.;em branco;em branco;em branco;Comyns - Londres;50$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4692;em branco ;1;Garfo para peixe.;em branco;em branco;em branco;Comyns - Londres;35$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4693;em branco ;1;Garfo para sobremesas.;em branco;em branco;em branco;Comyns - Londres;20$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4694;em branco ;1;Garfo para fructas.;em branco;em branco;em branco;Comyns - Londres;35$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4695;em branco ;1;Faca grande.;em branco;em branco;em branco;Comyns - Londres;50$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4696;em branco ;1;Faca para sobremesas.;em branco;em branco;em branco;Comyns - Londres;20$000;;Bom.;em branco;19/12/1932
 Caixa Forte ;Caixa Forte (prataria);7939;4697;em branco ;1;Faca para peixes.;em branco;em branco;em branco;Comyns - Londres;30$000;;Bom.;em branco;19/12/1932
